title, FederalFunded , ProjectAmount ,
HURRICANE SANDY," $16,135,620,754.98 "," $17,945,759,056.08 ",
HURRICANE MARIA," $3,431,596,824.28 "," $3,485,155,317.67 ",
HURRICANE IKE," $2,456,735,638.77 "," $2,560,101,311.23 ",
SEVERE STORMS AND FLOODING," $2,272,301,341.94 "," $2,847,631,528.86 ",
"SEVERE STORMS, TORNADOES, AND FLOODING"," $1,900,380,779.39 "," $2,277,679,875.53 ",
SEVERE WINTER STORM," $1,252,643,905.19 "," $1,630,784,499.55 ",
HURRICANE MATTHEW," $936,785,499.27 "," $1,208,642,060.92 ",
HURRICANE IRENE," $933,962,876.11 "," $1,242,620,210.37 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $860,452,939.47 "," $1,098,681,553.41 ",
HURRICANE HARVEY," $794,005,063.44 "," $848,806,646.12 ",
HURRICANE GUSTAV ," $712,112,967.76 "," $775,776,197.33 ",
WILDFIRES," $709,514,495.52 "," $870,464,500.18 ",
SEVERE WINTER STORM AND SNOWSTORM," $690,648,757.31 "," $916,837,004.32 ",
"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $660,207,481.33 "," $872,650,096.64 ",
FLOODING," $602,410,940.84 "," $749,823,569.75 ",
HURRICANE ISAAC," $401,141,969.81 "," $531,159,761.63 ",
SEVERE WINTER STORM AND FLOODING," $370,774,066.63 "," $489,814,079.86 ",
SEVERE WINTER STORMS," $365,973,640.71 "," $485,770,825.26 ",
"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $347,103,518.97 "," $458,967,193.58 ",
HURRICANE IRMA," $342,026,711.76 "," $390,417,919.58 ",
REMNANTS OF TROPICAL STORM LEE," $337,452,836.60 "," $449,918,086.60 ",
TROPICAL STORM IRENE," $310,785,499.40 "," $366,681,785.34 ",
VALLEY FIRE AND BUTTE FIRE," $235,436,113.49 "," $313,439,454.33 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"," $230,830,221.12 "," $304,782,509.78 ",
"SEVERE STORMS, FLOODING, AND TORNADOES"," $221,129,450.54 "," $291,038,302.24 ",
"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $220,792,842.24 "," $291,846,413.03 ",
"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES "," $218,783,026.27 "," $242,780,497.08 ",
SEVERE STORM," $155,146,803.32 "," $204,781,030.57 ",
TROPICAL STORM LEE," $153,610,612.58 "," $203,262,874.47 ",
SEVERE WINTER STORMS AND SNOWSTORMS," $151,585,123.30 "," $201,973,307.70 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $141,876,902.31 "," $187,345,540.34 ",
SEVERE WINTER STORMS AND FLOODING," $130,710,568.12 "," $171,517,990.29 ",
TROPICAL STORM FAY," $106,545,199.69 "," $140,098,034.81 ",
SEVERE STORMS AND TORNADOES," $105,933,711.67 "," $140,146,669.80 ",
"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS"," $105,155,010.99 "," $139,663,699.80 ",
"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS"," $103,735,439.45 "," $137,293,936.95 ",
EARTHQUAKE," $103,360,686.06 "," $136,862,934.44 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND ASSOCIATED FLOODING"," $96,287,507.12 "," $127,399,859.99 ",
"EARTHQUAKE,TSUNAMI, AND FLOODING"," $92,114,638.00 "," $101,732,034.47 ",
"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS"," $83,498,926.89 "," $110,707,496.78 ",
"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $82,153,097.28 "," $109,010,008.67 ",
SEVERE STORM AND SNOWSTORM," $74,622,240.20 "," $99,329,041.87 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $72,727,564.19 "," $95,769,995.31 ",
SEVERE STORMS AND STRAIGHT-LINE WINDS," $71,061,355.72 "," $94,191,567.30 ",
HURRICANE DOLLY," $68,454,771.15 "," $90,136,058.77 ",
"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $63,895,426.46 "," $84,263,747.19 ",
HURRICANE GUSTAV," $62,817,358.98 "," $82,697,688.66 ",
SEVERE WIND STORM ASSOCIATED WITH TROPICAL DEPRESSION IKE," $57,654,670.42 "," $76,630,994.56 ",
SNOWSTORM," $55,628,849.11 "," $73,930,889.74 ",
"SEVERE STORMS, FLOODING AND TORNADOES"," $55,113,413.20 "," $73,191,585.09 ",
HURRICANE HERMINE," $54,409,796.24 "," $69,526,107.95 ",
SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $52,430,065.98 "," $69,528,704.34 ",
"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING"," $52,045,723.18 "," $68,842,600.21 ",
TROPICAL STORM DEBBY," $51,932,652.72 "," $69,038,946.03 ",
"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS"," $51,811,905.10 "," $68,085,802.14 ",
SEVERE STORMS AND  FLOODING," $50,350,367.02 "," $61,281,183.90 ",
"SEVERE STORMS, TORNADOES, AND ASSOCIATED FLOODING"," $50,084,116.21 "," $66,866,095.22 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING"," $45,719,933.06 "," $60,182,695.53 ",
TSUNAMI WAVES," $44,138,128.84 "," $58,384,052.31 ",
"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $41,300,426.78 "," $49,554,426.16 ",
TYPHOON SOUDELOR," $39,318,029.85 "," $43,772,038.91 ",
SEVERE STORMS AND FLOODING ," $34,898,326.18 "," $45,515,189.10 ",
"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"," $34,603,693.49 "," $45,646,623.64 ",
EXPLOSION," $32,986,860.33 "," $44,261,166.33 ",
"SEVERE STORMS, TORNADOES, FLOODING AND MUDSLIDES"," $32,484,723.10 "," $35,563,041.37 ",
FLOODING ," $32,014,193.60 "," $42,545,551.17 ",
FLOODING AND MUDSLIDES," $28,747,995.53 "," $36,363,337.92 ",
SEVERE WINTER STORMS AND SNOWSTORM," $27,642,683.83 "," $36,636,911.26 ",
"SEVERE WINTER STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $25,238,904.52 "," $33,240,553.95 ",
"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $24,766,000.62 "," $32,528,802.85 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING"," $24,136,200.18 "," $31,758,685.64 ",
"SEVERE WINTER STORMS, FLOODING, LANDSLIDES,  MUDSLIDES"," $22,901,867.01 "," $30,225,441.03 ",
RIM FIRE," $22,608,079.95 "," $29,797,749.83 ",
"SEVERE STORMS, FLOODING, MUDSLIDES, AND TORNADOES"," $22,592,444.08 "," $25,153,449.32 ",
"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES ASSOC W TS OTTO"," $22,359,797.02 "," $29,618,120.77 ",
RECORD SNOW AND NEAR RECORD SNOW," $21,163,006.88 "," $28,144,158.82 ",
"SEVERE STORM, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES"," $21,120,829.64 "," $28,065,221.46 ",
WILDFIRES AND MUDSLIDES," $20,597,805.51 "," $27,466,073.64 ",
"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $20,577,260.90 "," $27,172,850.22 ",
HURRICANE ALEX," $19,844,963.25 "," $26,226,156.74 ",
FLOODING AND ICE JAMS," $19,558,149.68 "," $25,955,186.30 ",
SEVERE STORMS AND FLOODING DUE TO THE REMNANTS OF HURRICANE SANDY," $19,551,083.88 "," $25,942,753.63 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND"," $18,424,080.94 "," $24,298,357.06 ",
"SEVERE STORMS, FLOODING, TORNADOES & STRAIGHT-LINE"," $18,067,054.08 "," $23,924,593.54 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING "," $15,849,065.62 "," $20,984,458.79 ",
SEVERE STORMS AND FLOODING ASSOC W TD IDA & NOR'EASTER," $14,742,880.72 "," $19,648,332.64 ",
SEVERE STORM AND FLOODING," $14,176,082.64 "," $18,737,130.22 ",
SEVERE WINTER STORM ," $12,986,581.16 "," $16,750,436.98 ",
SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAS," $12,726,038.83 "," $16,691,344.26 ",
"SEVERE STORMS, FLOODING, AND LANDSLIDES"," $12,238,028.12 "," $16,240,312.55 ",
"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES"," $11,534,817.80 "," $15,269,232.73 ",
PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW," $11,358,961.57 "," $15,030,822.06 ",
"SEVERE WINTER STORM, RECORD AND NEAR RECORD SNOW"," $10,887,118.75 "," $14,428,760.14 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDE"," $10,443,806.94 "," $13,908,945.71 ",
"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES"," $10,403,601.77 "," $13,871,284.79 ",
56TH PRESIDENTIAL INAUGURATION," $9,540,583.88 "," $9,540,583.88 ",
"SEVERE STORMS,TORNADOES, AND FLOODING"," $9,530,678.74 "," $13,154,100.04 ",
HURRICANE OMAR," $8,944,143.65 "," $11,465,125.79 ",
" SEVERE STORMS, FLOODING, AND A TORNADO"," $8,529,243.13 "," $11,356,158.47 ",
SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAST," $7,711,083.63 "," $10,177,129.98 ",
"SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES"," $7,206,937.05 "," $9,534,993.62 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND"," $7,132,344.90 "," $9,438,855.20 ",
"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"," $6,709,357.33 "," $8,768,876.81 ",
BLACK FOREST WILDFIRE," $6,617,742.08 "," $8,818,357.72 ",
EXPLOSIONS," $6,195,205.80 "," $8,245,530.47 ",
SEVERE WINDSTORM," $6,150,221.43 "," $7,992,232.90 ",
SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE IKE," $5,940,451.74 "," $7,779,193.98 ",
TSUNAMI WAVE SURGE," $5,611,823.23 "," $7,420,456.73 ",
SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $5,576,662.22 "," $7,397,415.77 ",
THE REMNANTS OF TROPICAL STORM LEE," $5,135,398.21 "," $6,812,061.63 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUD"," $4,996,016.07 "," $6,652,021.48 ",
TROPICAL STORM ISELLE," $4,982,684.64 "," $6,275,065.13 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES"," $4,896,874.71 "," $6,504,167.76 ",
"SEVERE WINTER STORM, SNOWSTORM, STRAIGHT-LINE WINDS, AND FLOODING"," $4,787,592.26 "," $6,136,692.44 ",
"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES"," $4,667,468.23 "," $6,172,027.40 ",
TROPICAL STORM HANNA," $4,657,982.00 "," $6,160,032.54 ",
"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES "," $4,438,903.71 "," $5,872,676.41 ",
TYPHOON DOLPHIN," $4,318,133.91 "," $5,718,336.47 ",
"FLOODING, LANDSLIDES, AND MUDSLIDES"," $4,262,492.84 "," $5,639,566.51 ",
"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANSLIDES"," $4,261,453.30 "," $5,671,342.84 ",
TROPICAL STORM IDA," $4,228,940.04 "," $5,547,017.34 ",
HURRICANE EARL," $4,052,037.12 "," $5,372,505.75 ",
HIGH PARK AND WALDO CANYON WILDFIRES," $4,046,793.01 "," $5,388,309.35 ",
"SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS"," $3,990,138.12 "," $5,272,158.81 ",
"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND"," $3,985,862.62 "," $5,299,728.86 ",
"SEVERE STORMS, FLOODING, MUDSLIDES, AND ROCKSLIDES"," $3,950,737.77 "," $5,231,604.93 ",
"SEVERE STORMS, TORNADOES, FLOODING, AND STRAIGHT-LINE WINDS"," $3,945,262.25 "," $5,192,469.28 ",
SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV," $3,892,240.53 "," $5,185,200.11 ",
"SEVERE STORMS, TORNADOES, STRAIGHT LINE WINDS, AND FLOODING"," $3,362,468.45 "," $4,477,342.64 ",
HURRICANE NATE," $3,322,180.54 "," $4,392,550.25 ",
TROPICAL STORM HARVEY," $3,283,241.42 "," $4,383,352.25 ",
TORNADO," $3,236,435.63 "," $4,350,212.08 ",
"SEVERE STORMS, ICE JAMS, AND FLOODING"," $3,112,391.72 "," $4,134,085.23 ",
EXPLOSIONS AND FIRE ," $2,961,508.24 "," $3,916,579.85 ",
SEVERE STORMS ," $2,914,288.63 "," $3,885,718.10 ",
"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $2,869,842.66 "," $3,806,236.79 ",
"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING"," $2,860,240.58 "," $3,792,397.70 ",
"SEVERE STORMS, WINTER STORMS, TORNADOES AND FLOODING"," $2,670,513.58 "," $3,587,337.86 ",
"SEVERE STORMS, HIGH SURF, FLOODING, AND MUDSLIDES"," $2,629,570.00 "," $3,472,117.28 ",
SEVERE STORM AND STRAIGHT-LINE WIND," $2,592,294.32 "," $3,415,559.27 ",
TROPICAL STORM IKE," $2,543,014.21 "," $3,388,820.38 ",
"SEVERE STORMS, TORNADO, AND FLOODING"," $2,484,998.95 "," $3,302,176.79 ",
" SEVERE STORMS, TORNADOES, AND FLOODING"," $2,229,174.06 "," $2,852,298.38 ",
"SEVERE STORMS, FLOODING, TORNADO, AND STRAIGHT-LIN"," $2,138,551.99 "," $2,848,751.18 ",
ICE JAMS AND FLOODING," $1,925,935.20 "," $2,566,280.80 ",
"SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS"," $1,840,022.30 "," $2,438,818.93 ",
SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES," $1,801,838.12 "," $2,386,406.61 ",
ICE JAM AND FLOODING," $1,756,346.80 "," $2,320,419.34 ",
WILDFIRE," $1,741,544.11 "," $2,321,833.43 ",
CHEMICAL SPILL," $1,639,099.39 "," $2,178,019.05 ",
SEVERE FREEZE," $1,602,599.04 "," $2,132,018.96 ",
HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA," $1,344,412.25 "," $1,578,161.84 ",
"SEVERE STORMS, TORNADOES, AND FLOODING "," $1,159,221.44 "," $1,499,223.11 ",
"SEVERE STORM, TORNADO, AND FLOODING"," $1,017,761.39 "," $1,349,637.47 ",
TROPICAL STORM NATE," $703,154.03 "," $932,663.70 ",
TROPICAL STORM HALONG," $600,827.06 "," $794,629.71 ",
TROPICAL STORM GITA," $451,835.22 "," $602,446.95 ",
"SEVERE STORMS, A TORNADO, AND FLOODING"," $449,482.54 "," $597,800.07 ",
ROYAL GORGE FIRE," $173,358.39 "," $229,634.06 ",
