disasterNumber,State,Title, FederalFunded ,ProjectAmount
4160,Arkansas,SEVERE WINTER STORM," $5,587,008.61 ",7215493.28
1891,Maine,SEVERE WINTER STORM," $5,295,215.58 ",7059992.81
1864,Nebraska,SEVERE WINTER STORM," $5,125,804.16 ",6830735.29
4154,North Dakota,SEVERE WINTER STORM," $4,337,765.50 ",5714999.67
4164,Oklahoma,SEVERE WINTER STORM," $3,976,954.92 ",5164184.4
4207,Vermont,SEVERE WINTER STORM," $3,949,092.78 ",5158630.56
1767,Montana,SEVERE WINTER STORM," $3,346,388.88 ",4471525.67
4302,California,SEVERE WINTER STORM," $3,296,420.33 ",3658077.57
1739,Nebraska,SEVERE WINTER STORM," $2,895,288.73 ",3859012.64
1914,South Dakota,SEVERE WINTER STORM," $1,862,942.69 ",2481773.66
1816,Vermont,SEVERE WINTER STORM," $1,337,879.37 ",1781638.39
4215,Georgia,SEVERE WINTER STORM ," $11,299,141.71 ",14555071.99
4316,New Hampshire,SEVERE WINTER STORM ," $1,687,439.45 ",2195364.99
1962,New Mexico,SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES," $1,801,838.12 ",2386406.61
1818,Kentucky,SEVERE WINTER STORM AND FLOODING," $245,207,244.96 ",324777222.6
1813,Massachusetts,SEVERE WINTER STORM AND FLOODING," $51,897,563.85 ",68593599.29
4211,Tennessee,SEVERE WINTER STORM AND FLOODING," $35,648,331.19 ",46341509.73
4296,Oregon,SEVERE WINTER STORM AND FLOODING," $13,395,543.46 ",17378892.12
1815,Maine,SEVERE WINTER STORM AND FLOODING," $9,781,024.74 ",13031712.97
1955,Utah,SEVERE WINTER STORM AND FLOODING," $8,701,342.50 ",11532889.98
1821,Tennessee,SEVERE WINTER STORM AND FLOODING," $6,143,015.93 ",8158253.19
1825,Washington,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $26,341,587.62 ",34812993.19
1848,Kansas,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $12,436,207.30 ",16523109.34
1759,South Dakota,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $7,826,995.83 ",10431933.72
1811,South Dakota,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW," $5,825,275.23 ",7760668.09
4264,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $75,444,427.72 ",99762907.91
4261,Maryland,SEVERE WINTER STORM AND SNOWSTORM," $69,605,697.91 ",92722622.31
4109,Oklahoma,SEVERE WINTER STORM AND SNOWSTORM," $58,006,060.87 ",77224277.38
1954,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $52,385,508.50 ",69282501.13
1960,Illinois,SEVERE WINTER STORM AND SNOWSTORM," $48,259,660.62 ",64176935.84
4262,Virginia,SEVERE WINTER STORM AND SNOWSTORM," $48,225,927.95 ",63966267.3
4267,Pennsylvania,SEVERE WINTER STORM AND SNOWSTORM," $45,248,466.71 ",59838434.53
1957,New York,SEVERE WINTER STORM AND SNOWSTORM," $42,725,102.27 ",56966802.06
4106,Connecticut,SEVERE WINTER STORM AND SNOWSTORM," $31,749,590.95 ",42021024.55
1959,Massachusetts,SEVERE WINTER STORM AND SNOWSTORM," $25,955,715.57 ",34565869.99
1875,Maryland,SEVERE WINTER STORM AND SNOWSTORM," $24,581,512.14 ",32760309.97
4111,New York,SEVERE WINTER STORM AND SNOWSTORM," $23,938,333.17 ",31803594.82
1874,Virginia,SEVERE WINTER STORM AND SNOWSTORM," $22,887,905.74 ",30256783.52
4322,New York,SEVERE WINTER STORM AND SNOWSTORM," $21,464,386.19 ",28618516.15
1889,New Jersey,SEVERE WINTER STORM AND SNOWSTORM," $14,488,213.64 ",19168214.34
1961,Missouri,SEVERE WINTER STORM AND SNOWSTORM," $9,807,841.20 ",13044854.81
4173,Indiana,SEVERE WINTER STORM AND SNOWSTORM," $9,618,232.15 ",12722949.93
4213,Connecticut,SEVERE WINTER STORM AND SNOWSTORM," $9,603,757.08 ",12703775.53
4212,Rhode Island,SEVERE WINTER STORM AND SNOWSTORM," $8,894,054.75 ",11760235.65
4115,South Dakota,SEVERE WINTER STORM AND SNOWSTORM," $8,231,034.73 ",10959740.2
1966,Wisconsin,SEVERE WINTER STORM AND SNOWSTORM," $8,143,719.94 ",10853913.18
4107,Rhode Island,SEVERE WINTER STORM AND SNOWSTORM," $7,929,498.13 ",10493204.48
4105,New Hampshire,SEVERE WINTER STORM AND SNOWSTORM," $6,153,471.49 ",8194417.02
4209,New Hampshire,SEVERE WINTER STORM AND SNOWSTORM," $4,939,214.76 ",6532335.47
1882,District of Columbia,SEVERE WINTER STORM AND SNOWSTORM," $3,536,705.06 ",4715606.65
1985,Oklahoma,SEVERE WINTER STORM AND SNOWSTORM," $3,490,382.10 ",4617398.62
1881,West Virginia,SEVERE WINTER STORM AND SNOWSTORM," $2,944,843.15 ",3928018.38
4265,Delaware,SEVERE WINTER STORM AND SNOWSTORM," $1,514,989.83 ",2013751.87
1886,South Dakota,SEVERE WINTER STORM AND SNOWSTORM," $874,502.99 ",1161740.73
4306,Wyoming,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $2,453,757.83 ",3245241.42
4271,Montana,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $1,696,751.24 ",2258061.28
4321,Nebraska,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS," $1,426,153.15 ",1894113.07
4210,West Virginia,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $31,692,511.80 ",42196096.39
4056,Washington,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $30,551,050.13 ",40420912.64
4055,Oregon,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $15,279,403.94 ",20219491.31
1963,Washington,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $4,630,131.41 ",6173508.33
1956,Oregon,"SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS"," $3,990,138.12 ",5272158.81
1817,Washington,"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING"," $52,045,723.18 ",68842600.21
1824,Oregon,"SEVERE WINTER STORM, RECORD AND NEAR RECORD SNOW"," $10,887,118.75 ",14428760.14
4214,Massachusetts,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $84,099,538.73 ",111128413.5
4110,Massachusetts,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $56,936,654.92 ",75340456.71
4155,South Dakota,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $43,113,022.91 ",56550603.11
4204,New York,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $30,882,036.45 ",41154080.72
4108,Maine,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $3,114,956.97 ",4152643.16
4208,Maine,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $2,646,632.26 ",3520215.83
4218,Kentucky,"SEVERE WINTER STORM, SNOWSTORM, FLOODING, LANDSLIDES, AND MUDSLIDES"," $20,577,260.90 ",27172850.22
4319,Kansas,"SEVERE WINTER STORM, SNOWSTORM, STRAIGHT-LINE WINDS, AND FLOODING"," $4,787,592.26 ",6136692.44
4253,Washington,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T"," $6,709,357.33 ",8768876.81
1741,Kansas,SEVERE WINTER STORMS," $224,698,428.34 ",299233633.7
1735,Oklahoma,SEVERE WINTER STORMS," $98,996,546.81 ",130449105.9
1736,Missouri,SEVERE WINTER STORMS," $24,948,123.75 ",33198119.78
4252,Idaho,SEVERE WINTER STORMS," $10,988,200.86 ",14622115.62
4163,Vermont,SEVERE WINTER STORMS," $6,342,340.95 ",8267850.25
4256,Oklahoma,SEVERE WINTER STORMS AND FLOODING," $49,464,439.45 ",65288215.03
4247,Oklahoma,SEVERE WINTER STORMS AND FLOODING," $29,857,738.46 ",37976966.25
1871,North Carolina,SEVERE WINTER STORMS AND FLOODING," $18,885,702.86 ",25048090.6
1748,Missouri,SEVERE WINTER STORMS AND FLOODING," $10,068,998.77 ",13414668.05
1888,Arizona,SEVERE WINTER STORMS AND FLOODING," $7,143,370.60 ",9461533.27
4310,Idaho,SEVERE WINTER STORMS AND FLOODING," $6,039,914.76 ",8029869.31
4050,Alaska,SEVERE WINTER STORMS AND FLOODING," $4,826,785.92 ",6423829.47
4311,Utah,SEVERE WINTER STORMS AND FLOODING," $3,311,238.16 ",4405156.51
1738,Nevada,SEVERE WINTER STORMS AND FLOODING," $1,112,379.14 ",1469661.8
1885,Kansas,SEVERE WINTER STORMS AND SNOWSTORM," $15,069,225.02 ",19963582.29
1878,Nebraska,SEVERE WINTER STORMS AND SNOWSTORM," $6,577,021.37 ",8742296.72
1877,Iowa,SEVERE WINTER STORMS AND SNOWSTORM," $5,996,437.44 ",7931032.25
1910,Maryland,SEVERE WINTER STORMS AND SNOWSTORMS," $59,386,940.85 ",79292253.52
1898,Pennsylvania,SEVERE WINTER STORMS AND SNOWSTORMS," $44,167,865.22 ",58749230.74
1905,Virginia,SEVERE WINTER STORMS AND SNOWSTORMS," $27,888,157.43 ",36957373.75
1896,Delaware,SEVERE WINTER STORMS AND SNOWSTORMS," $9,201,061.54 ",12385464.02
1890,District of Columbia,SEVERE WINTER STORMS AND SNOWSTORMS," $7,638,439.83 ",10184896.65
1903,West Virginia,SEVERE WINTER STORMS AND SNOWSTORMS," $3,302,658.43 ",4404089.02
1952,California,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS"," $75,381,994.11 ",99901749.92
1884,California,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS"," $28,353,445.34 ",37392187.03
4308,California,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $202,520,674.36 ",268564481.9
4301,California,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $80,749,660.15 ",106975747.3
4305,California,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $40,791,618.29 ",53028917.42
4307,Nevada,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $13,895,934.29 ",18374125.66
4303,Nevada,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $9,145,631.88 ",12023921.34
4309,Washington,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES,  MUDSLIDES"," $22,901,867.01 ",30225441.03
4328,Oregon,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $2,869,842.66 ",3806236.79
4216,Kentucky,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES "," $4,438,903.71 ",5872676.41
4258,Oregon,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $24,766,000.62 ",32528802.85
4255,Texas,"SEVERE WINTER STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $25,238,904.52 ",33240553.95
4260,District of Columbia,SNOWSTORM," $17,661,717.79 ",23522755.33
1873,New Jersey,SNOWSTORM," $14,200,921.24 ",18781789.03
1958,Connecticut,SNOWSTORM," $13,744,126.49 ",18292802.33
4170,Maryland,SNOWSTORM," $8,701,290.63 ",11582465.34
4112,Kansas,SNOWSTORM," $1,320,792.96 ",1751077.71
4045,Virginia,THE REMNANTS OF TROPICAL STORM LEE," $5,135,398.21 ",6812061.63
4275,Montana,TORNADO," $3,236,435.63 ",4350212.08
4068,Florida,TROPICAL STORM DEBBY," $51,932,652.72 ",69038946.03
1785,Florida,TROPICAL STORM FAY," $97,105,438.40 ",127623329.5
3288,Florida,TROPICAL STORM FAY," $9,439,761.29 ",12474705.26
4357,American Samoa,TROPICAL STORM GITA," $451,835.22 ",602446.95
4191,Guam,TROPICAL STORM HALONG," $600,827.06 ",794629.71
1801,North Carolina,TROPICAL STORM HANNA," $4,657,982.00 ",6160032.54
4345,Louisiana,TROPICAL STORM HARVEY," $3,283,241.42 ",4383352.25
1866,Alabama,TROPICAL STORM IDA," $4,228,940.04 ",5547017.34
1804,Arkansas,TROPICAL STORM IKE," $2,543,014.21 ",3388820.38
4022,Vermont,TROPICAL STORM IRENE," $209,280,011.64 ",231856874.5
4023,Connecticut,TROPICAL STORM IRENE," $42,846,150.16 ",56826328.33
4028,Massachusetts,TROPICAL STORM IRENE," $30,168,386.47 ",40158289.82
4026,New Hampshire,TROPICAL STORM IRENE," $18,153,771.06 ",24066168.86
4027,Rhode Island,TROPICAL STORM IRENE," $8,341,293.11 ",11113398.07
4032,Maine,TROPICAL STORM IRENE," $1,995,886.96 ",2660725.74
4194,Hawaii,TROPICAL STORM ISELLE," $4,982,684.64 ",6275065.13
4030,Pennsylvania,TROPICAL STORM LEE," $147,866,255.71 ",195670383.7
4041,Louisiana,TROPICAL STORM LEE," $5,744,356.87 ",7592490.75
3392,Louisiana,TROPICAL STORM NATE," $703,154.03 ",932663.7
1964,Oregon,TSUNAMI WAVE SURGE," $5,611,823.23 ",7420456.73
1968,California,TSUNAMI WAVES," $37,769,036.60 ",49950192.33
1967,Hawaii,TSUNAMI WAVES," $6,369,092.24 ",8433859.98
4224,Guam,TYPHOON DOLPHIN," $4,318,133.91 ",5718336.47
4235,Northern Mariana Islands,TYPHOON SOUDELOR," $39,318,029.85 ",43772038.91
4240,California,VALLEY FIRE AND BUTTE FIRE," $235,436,113.49 ",313439454.3
4074,Montana,WILDFIRE," $1,297,026.84 ",1729143.74
4142,California,WILDFIRE," $444,517.27 ",592689.69
4344,California,WILDFIRES," $275,617,647.53 ",293658135.9
3287,California,WILDFIRES," $246,230,084.15 ",327995384.8
1810,California,WILDFIRES," $56,548,214.09 ",74919272
1999,Texas,WILDFIRES," $52,813,413.07 ",70230700.79
4029,Texas,WILDFIRES," $50,313,452.53 ",66303690.49
4188,Washington,WILDFIRES," $24,159,807.89 ",32252031.61
4293,Tennessee,WILDFIRES," $3,831,876.26 ",5105284.59
4243,Washington,WILDFIRES AND MUDSLIDES," $20,597,805.51 ",27466073.64
4353,California,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS"," $83,498,926.89 ",110707496.8
3216,Texas,#N/A," $512,845,214.12 ",512845214.1
3169,New Jersey,#N/A," $86,935,332.55 ",87045908.3
3140,California,#N/A," $50,508,112.00 ",67344149.27
3201,Massachusetts,#N/A," $48,298,360.54 ",64397812.72
3215,Arkansas,#N/A," $44,511,214.63 ",44511214.63
3181,New Jersey,#N/A," $35,239,543.04 ",47041870.53
3191,Massachusetts,#N/A," $34,491,571.61 ",45988761.03
3217,Tennessee,#N/A," $34,396,972.56 ",34396972.56
3127,Texas,#N/A," $33,242,785.50 ",44323714
3184,New York,#N/A," $32,646,623.55 ",43583922.22
3131,Florida,#N/A," $30,791,421.08 ",41055227.09
3175,Massachusetts,#N/A," $27,849,920.28 ",37141185.55
3134,Illinois,#N/A," $24,508,391.71 ",34330429.17
3105,Pennsylvania,#N/A," $23,082,023.19 ",30774193.36
3165,Massachusetts,#N/A," $20,369,039.09 ",27158718.26
3180,Pennsylvania,#N/A," $20,251,032.21 ",27001374.11
3179,Maryland,#N/A," $18,512,249.27 ",24682795.37
3097,Georgia,#N/A," $18,160,382.80 ",24213842.67
3170,New York,#N/A," $16,104,410.42 ",21472546.55
3161,Illinois,#N/A," $15,864,191.99 ",21550725.49
3173,New York,#N/A," $15,371,971.84 ",20523516.7
3277,Texas,#N/A," $15,025,862.30 ",20070128.31
3095,Tennessee,#N/A," $13,387,488.92 ",17849984.91
3096,Alabama,#N/A," $13,351,171.57 ",17801561.8
3224,Colorado,#N/A," $12,996,268.84 ",12996268.84
3219,Oklahoma,#N/A," $12,463,123.57 ",12463123.57
3200,Connecticut,#N/A," $11,971,323.67 ",15994282.53
3110,North Carolina,#N/A," $11,416,835.76 ",15222446.88
3267,Missouri,#N/A," $10,714,436.88 ",14285093.43
3266,Connecticut,#N/A," $9,519,165.63 ",12720000.59
3135,Indiana,#N/A," $9,434,506.96 ",12579342.15
3120,California,#N/A," $9,380,310.12 ",12589807.15
3218,Georgia,#N/A," $9,199,292.00 ",9199292
3192,Connecticut,#N/A," $9,134,475.50 ",12191700.24
3160,Michigan,#N/A," $8,809,499.06 ",11746111.34
3274,Indiana,#N/A," $8,745,537.23 ",11686423.11
3137,Michigan,#N/A," $8,645,443.19 ",11527256.91
3176,Connecticut,#N/A," $8,570,397.40 ",11427196.11
3107,New York,#N/A," $8,473,682.70 ",11298243.59
3270,Colorado,#N/A," $8,263,015.49 ",11017353.59
3198,Ohio,#N/A," $8,261,610.10 ",11040693.18
3100,Maryland,#N/A," $8,167,866.69 ",10890488.81
3259,Florida,#N/A," $7,133,650.10 ",8202734.1
3142,Texas,#N/A," $6,074,829.75 ",8099773
3261,Texas,#N/A," $6,039,850.49 ",6038369.51
3203,Rhode Island,#N/A," $6,023,319.52 ",8052178.93
3269,Illinois,#N/A," $5,964,486.44 ",7977151.76
3171,Texas,#N/A," $5,951,301.10 ",5951301.1
3185,Colorado,#N/A," $5,873,368.71 ",7829976.61
3252,Massachusetts,#N/A," $5,722,098.57 ",5722098.57
3197,Indiana,#N/A," $5,569,739.00 ",7446449.25
3241,Arizona,#N/A," $5,542,196.27 ",5542196.27
3112,Virginia,#N/A," $5,497,901.19 ",7330534.79
3186,New York,#N/A," $5,223,220.57 ",6966522.14
3233,South Carolina,#N/A," $5,141,771.19 ",5141771.19
3132,Mississippi,#N/A," $5,138,898.87 ",6851865.04
3163,Wisconsin,#N/A," $5,138,626.73 ",6852025.74
3254,North Carolina,#N/A," $4,996,203.01 ",6677075.61
3157,New York,#N/A," $4,780,999.12 ",6374665.05
3189,Michigan,#N/A," $4,726,060.56 ",6304257.17
3155,New York,#N/A," $4,549,306.37 ",6065741.82
3136,New York,#N/A," $4,453,679.06 ",5938238.05
3117,Texas,#N/A," $4,357,979.25 ",5810639
3230,Illinois,#N/A," $4,294,561.82 ",4294561.82
3154,New Mexico,#N/A," $4,231,537.88 ",4810629.25
3116,Florida,#N/A," $4,030,768.05 ",5374357.15
3115,Oklahoma,#N/A," $3,907,406.63 ",3907406.63
3235,Pennsylvania,#N/A," $3,886,088.88 ",3886088.88
3206,Maine,#N/A," $3,805,768.99 ",5074358.16
3220,Florida,#N/A," $3,694,456.29 ",3694456.29
3162,Indiana,#N/A," $3,488,222.44 ",4650962.97
3144,Georgia,#N/A," $3,480,450.87 ",4678456.95
3143,Florida,#N/A," $3,471,086.79 ",4645660
3207,New Hampshire,#N/A," $3,444,430.41 ",4608114.62
3278,Minnesota,#N/A," $3,436,567.96 ",4594090.73
3183,Delaware,#N/A," $3,421,041.46 ",4568280.09
3141,North Carolina,#N/A," $3,322,083.95 ",4429445.2
3166,New Hampshire,#N/A," $3,268,895.56 ",4358527.2
3164,Maine,#N/A," $3,239,432.02 ",4319242.26
3209,Maine,#N/A," $3,101,870.31 ",4135826.7
3153,Massachusetts,#N/A," $2,989,368.24 ",3985824.02
3138,New York,#N/A," $2,983,356.46 ",3977808.21
3237,Alabama,#N/A," $2,942,630.82 ",2942630.82
3275,Iowa,#N/A," $2,726,554.09 ",3634254.39
3262,New York,#N/A," $2,678,826.75 ",2678826.75
3114,Florida,#N/A," $2,593,376.70 ",3457835.59
3195,New York,#N/A," $2,582,255.18 ",3453359.47
3273,New York,#N/A," $2,508,302.11 ",3355948.1
3193,New Hampshire,#N/A," $2,506,839.37 ",3352555.84
3250,Ohio,#N/A," $2,455,669.23 ",2455669.23
3242,Minnesota,#N/A," $2,391,612.96 ",2391612.96
3156,New Jersey,#N/A," $2,362,985.16 ",3150646.85
3204,Nevada,#N/A," $2,336,426.86 ",3131412.37
3109,West Virginia,#N/A," $2,335,368.38 ",3111990.84
3222,North Carolina,#N/A," $2,309,589.51 ",2309589.51
3190,Maine,#N/A," $2,193,062.41 ",2924082.92
3177,New Hampshire,#N/A," $2,174,685.13 ",2899579.96
3223,Utah,#N/A," $2,130,453.48 ",2130453.48
3238,Indiana,#N/A," $2,064,487.65 ",2064487.65
3272,Oklahoma,#N/A," $2,046,135.73 ",2727771.32
3225,Michigan,#N/A," $1,997,714.13 ",1997714.13
3211,New Hampshire,#N/A," $1,976,348.23 ",2645732.06
3231,Kentucky,#N/A," $1,943,004.84 ",1943004.84
3148,New Jersey,#N/A," $1,936,383.16 ",2581844.18
3182,Rhode Island,#N/A," $1,904,429.78 ",2546416.25
3226,District of Columbia,#N/A," $1,856,421.47 ",1856421.47
3133,Alabama,#N/A," $1,808,220.57 ",1808220.57
3094,Rhode Island,#N/A," $1,804,216.81 ",2405622.4
3106,New Jersey,#N/A," $1,769,069.36 ",2358759.11
3232,Missouri,#N/A," $1,751,641.33 ",1751641.33
3104,Kentucky,#N/A," $1,721,295.18 ",2295060
3178,District of Columbia,#N/A," $1,689,558.96 ",2252745.28
3227,Washington,#N/A," $1,674,681.06 ",1674681.06
3202,Nevada,#N/A," $1,609,654.81 ",2151346.81
3187,Ohio,#N/A," $1,515,831.84 ",2029514.24
3251,Maryland,#N/A," $1,502,419.68 ",1502419.68
3123,Rhode Island,#N/A," $1,423,529.85 ",1898039.81
3205,Maine,#N/A," $1,418,363.94 ",1891151.8
3188,New Jersey,#N/A," $1,405,110.62 ",1874864.12
3271,Colorado,#N/A," $1,251,920.82 ",1669227.65
3103,Massachusetts,#N/A," $1,241,890.71 ",1655854.14
3167,Vermont,#N/A," $1,232,341.68 ",1643122
3210,Maine,#N/A," $1,225,558.57 ",1634077.89
3243,Nevada,#N/A," $1,195,964.49 ",1195964.49
3249,Wisconsin,#N/A," $1,188,027.32 ",1188027.32
3194,Maine,#N/A," $1,144,936.63 ",1526582.01
3255,Rhode Island,#N/A," $1,062,451.26 ",1062451.26
3208,New Hampshire,#N/A," $1,040,849.58 ",1395131.77
3139,Florida,#N/A," $1,012,733.25 ",1350311
3229,New Mexico,#N/A," $992,891.56 ",992891.56
3248,California,#N/A," $947,486.85 ",947486.85
3228,Oregon,#N/A," $901,337.36 ",901337.36
3199,Illinois,#N/A," $829,604.88 ",1109181.73
3221,West Virginia,#N/A," $732,192.47 ",732192.47
3118,Oklahoma,#N/A," $693,655.50 ",924874
3246,Connecticut,#N/A," $639,498.33 ",639498.33
3101,New Hampshire,#N/A," $606,928.12 ",809237.21
3111,Delaware,#N/A," $589,383.07 ",785844.03
3264,Massachusetts,#N/A," $562,330.97 ",749832.05
3333,New Hampshire,#N/A," $550,618.32 ",733974.33
3265,Maine,#N/A," $533,910.78 ",711880.98
3099,Maine,#N/A," $517,125.42 ",689500.42
3150,Florida,#N/A," $515,513.70 ",687351.56
3108,District of Columbia,#N/A," $473,556.80 ",631409.05
3174,Maine,#N/A," $392,704.87 ",523606.43
3172,Louisiana,#N/A," $392,251.76 ",392251.76
3245,Nebraska,#N/A," $376,579.46 ",376579.46
3257,New Jersey,#N/A," $344,943.26 ",344943.26
3196,North Dakota,#N/A," $300,499.86 ",402674.92
3126,Kansas,#N/A," $282,868.95 ",377158.6
3240,Virginia,#N/A," $264,113.42 ",264113.42
3239,Iowa,#N/A," $232,383.23 ",232383.23
3234,South Dakota,#N/A," $208,997.24 ",208997.24
3244,Idaho,#N/A," $204,799.08 ",204799.08
3102,Rhode Island,#N/A," $157,290.74 ",209720.95
3236,Kansas,#N/A," $154,988.79 ",154988.79
3253,Montana,#N/A," $114,693.39 ",114693.39
3263,Delaware,#N/A," $89,661.81 ",89661.81
3080,New York,#N/A," $83,000.00 ",83000
3276,Federated States of Micronesia,#N/A," $73,991.65 ",98655.53
3256,Maine,#N/A," $48,332.97 ",48332.97
3247,North Dakota,#N/A," $22,842.18 ",22842.18
3258,New Hampshire,#N/A," $9,319.83 ",9319.83
